reference_lap_s,predicted_lap_s,residual_s
38.7178419970348,38.80249862662068,0.08465662958587927
38.48081686174756,38.625854720424314,0.14503785867675134
38.98725520180941,39.198912556224066,0.21165735441465472
39.385089099512086,39.524600234054816,0.13951113454272956
38.23345855837139,38.31939282924736,0.08593427087597405
38.521634787179735,38.610795424528085,0.08916063734834978
38.71581123232152,38.69523861440034,-0.020572617921182257
39.22857687335976,38.929142681848305,-0.2994341915114589
38.28278975236087,38.28607038277581,0.0032806304149417542
38.7742555429773,38.983544466323,0.20928892334570293
39.57728075427495,39.45434503245213,-0.1229357218228202
38.69417713970038,38.800042947160335,0.10586580745995633
39.893242499670606,39.4950580882291,-0.3981844114415054
39.17413097970102,39.19209397075015,0.01796299104913146
38.28318139753311,38.32258929493804,0.039407897404927894
38.25607965947461,38.31829518827909,0.06221552880447945
38.30270397829723,38.39231563825134,0.0896116599541088
38.55952453450192,38.73286132291932,0.17333678841740152
38.88501912619558,38.545599959853945,-0.33941916634163505
39.213569824744205,38.88879638536596,-0.324773439378248
38.28571230657094,38.30345311553006,0.017740808959118226
39.2363433367194,38.86500352330421,-0.3713398134151902
39.44815969040129,39.495940974134044,0.047781283732753366
