front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,method,objective,lap_time_s,top_speed_mps,fuel_used_kg,tyre_wear_end,tyre_wear_delta,distance_m,high_speed_corner_mps,braking_distance_m,mean_downforce_n,mean_drag_n,max_tyre_load_n,solver_iterations,shift_loss_s,feasible,constraint_reasons,objective_value,pareto,circuit,seed
16.532279633393614,15.180591949593744,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.067067571816196,87.09689314660937,1.47,0.020131890478698632,0.020131890478698632,2940.0,57.286765454337,250.0,11570.76482035809,2204.082032909108,8596.610862050537,17,0.64,True,,49.067067571816196,True,Velocity Park,42
16.532279633393614,15.160531944187989,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.067521699573796,87.10657454540265,1.47,0.020130745812597682,0.020130745812597682,2940.0,57.27801906177774,250.0,11568.814147622432,2202.8525088537967,8595.900898633588,17,0.64,True,,49.067521699573796,True,Velocity Park,42
16.532279633393614,15.198032032642326,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.067637554199315,87.08783019228228,1.47,0.020132379195529876,0.020132379195529876,2940.0,57.28658898966387,250.0,11571.993507439098,2205.0627348495163,8597.138082517853,17,0.64,True,,49.067637554199315,False,Velocity Park,42
16.532279633393614,15.154715557578172,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.067689098683374,87.10938032852752,1.47,0.02013039551337129,0.02013039551337129,2940.0,57.2749586449936,250.0,11568.231770764472,2202.4930782394963,8595.6946896837,17,0.64,True,,49.067689098683374,True,Velocity Park,42
16.532279633393614,15.22625067978155,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.06857572351469,87.07313496059959,1.47,0.020133159016789453,0.020133159016789453,2940.0,57.286279457621276,250.0,11573.972996727265,2206.6503991499017,8597.985324531994,17,0.64,True,,49.06857572351469,False,Velocity Park,42
16.532279633393614,15.02585789918236,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.071434804761395,87.17131655055708,1.47,0.020122591123757846,0.020122591123757846,2940.0,57.207283845636994,250.0,11555.309927180102,2194.561891190717,8591.075861980602,17,0.64,True,,49.071434804761395,True,Velocity Park,42
17.929056836980184,15.675506962100929,0.0351689561244392,0.06072621129700724,standard,differential_evolution,qualifying,49.079237787382056,86.24372830792406,1.47,0.02018986031338175,0.02018986031338175,2940.0,57.538707240018994,250.0,11676.780865724351,2294.827978628051,8520.761521220333,17,0.56,True,,49.079237787382056,False,Velocity Park,42
16.532279633393614,15.583494391362988,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.08078472647858,86.88539513948761,1.47,0.02014260268534892,0.02014260268534892,2940.0,57.28254556423053,250.0,11599.118116003328,2227.0318404334025,8608.31206694151,17,0.64,True,,49.08078472647858,False,Velocity Park,42
16.532279633393614,14.721359549995794,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.081005334987054,87.31618342881524,1.47,0.020098106594902628,0.020098106594902628,2940.0,57.051971266046166,250.0,11524.283089308892,2175.993750179737,8579.807386235698,17,0.64,True,,49.081005334987054,True,Velocity Park,42
16.532279633393614,15.675506962100929,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.08403327450149,86.83653549488018,1.47,0.020144905180183994,0.020144905180183994,2940.0,57.28164001600817,250.0,11605.447828754082,2232.332863985227,8610.852533414733,17,0.64,True,,49.08403327450149,False,Velocity Park,42
16.528946279293287,15.675506962100929,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.084040057268595,86.83782835969645,1.47,0.020144703824595288,0.020144703824595288,2940.0,57.27990350453183,250.0,11605.166957526959,2232.1686317000876,8611.050941242294,17,0.64,True,,49.084040057268595,False,Velocity Park,42
16.535863576224717,15.675506962100929,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.08407175998586,86.83514562048893,1.47,0.02014510819199052,0.02014510819199052,2940.0,57.28351251455024,250.0,11605.732190319286,2232.5060567729024,8610.639238645866,17,0.64,True,,49.08407175998586,False,Velocity Park,42
16.52561292519296,15.675506962100929,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.08411057135067,86.83912119376014,1.47,0.020144485930008095,0.020144485930008095,2940.0,57.27817420382053,250.0,11604.861358029895,2231.999635860116,8611.24934219945,17,0.64,True,,49.08411057135067,False,Velocity Park,42
16.542178529371046,15.675506962100929,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.08414760229886,86.83269580340799,1.47,0.02014546233410111,0.02014546233410111,2940.0,57.2868136735633,250.0,11606.229556647142,2232.81060119971,8610.26329198524,17,0.64,True,,49.08414760229886,False,Velocity Park,42
16.55167554286015,15.675506962100929,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.084261889291014,86.82901061353108,1.47,0.020145994604034545,0.020145994604034545,2940.0,57.29177932487801,250.0,11606.97742681752,2233.268806676898,8609.697790973481,17,0.64,True,,49.084261889291014,False,Velocity Park,42
