sample_index,distance_m,step_m,time_s,dt_s,shift_loss_s,speed_mps,exit_speed_mps,acceleration_mps2,lateral_acceleration_mps2,gear,drs,drs_zone,fuel_kg,mass_kg,tyre_wear,tyre_temperature_c,engine_force_n,available_engine_force_n,brake_force_n,rolling_force_n,front_tyre_load_n,rear_tyre_load_n,max_wheel_load_n,tyre_mu,segment_id,sector_id,radius_m,front_downforce_n,rear_downforce_n,downforce_n,drag_n,drag_longitudinal_n,front_height_m,rear_height_m,yaw_deg,roll_deg,cl_down,cd,front_aero_fraction
0,0.0,10.0,0.0,0.17305013207966746,0.0,57.25050548091531,58.32293996894171,6.197247440023238,0.0,3,0,0,10.0,810.0,0.0,85.0,7231.378210424672,7231.3771995953575,0.0,269.2804517691466,7592.532356550797,10359.49776139231,5179.748880696155,1.5074931499337616,101,11,0,4436.3226337523665,5572.32098419074,10008.643617943108,1942.3273322367022,1942.3273322367022,0.03316647410894288,0.0577406770042297,0.0,0.0,3.3236468616119916,0.645003497820458,0.4432491357569271
1,10.0,10.0,0.1730501320796675,0.16998876524246284,0.0,58.32293996894171,59.33189428715206,5.935417654050434,0.0,3,0,0,9.995,809.995,5.5828731102920596e-05,85.07625405780294,7098.405625874389,7098.407594343913,0.0,274.9607245599507,7778.048855682771,10552.666114980608,5276.333057490304,1.5049017305669232,101,11,0,4604.185214202987,5783.192289710393,10387.37750391338,2015.786278621857,2015.786278621857,0.03307400305027756,0.05764452358700131,0.0,0.0,3.3237274101672165,0.6450063170198909,0.44324808763986756
2,20.0,10.0,0.34303889732213033,0.16720220579114262,0.0,59.33189428715206,60.28375256013063,5.692857151463454,0.0,3,0,0,9.99,809.99,0.00011280884205934565,85.15417013027236,6977.69672188668,6977.697324079016,0.0,280.4000028810171,7955.1463758580385,10738.187149543102,5369.093574771551,1.5024823444006818,101,11,0,4764.929694459196,5985.115397441944,10750.04509190114,2086.1393548917804,2086.1393548917804,0.03298571582636475,0.05755215559986426,0.0,0.0,3.3237791312472487,0.645008127257692,0.4432474146595901
3,30.0,10.0,0.510241103113273,0.16465284808236377,0.0,60.28375256013063,61.18393070761014,5.46712770512911,0.0,3,0,0,9.985,809.985,0.00017089282246980287,85.23366363441023,6867.522380337873,6867.522050606448,0.0,285.6159586989343,8124.51166758252,10916.552245679766,5458.276122839883,1.5002174248688322,101,11,0,4919.078223656604,6178.746289355683,11097.824513012287,2153.6149873999366,2153.6149873999366,0.03290127010044411,0.05746332888395894,0.0,0.0,3.3238054478939683,0.6450090483403271,0.44324707224275767
4,40.0,10.0,0.6748939511956368,0.16230999428934434,0.0,61.18393070761014,62.03707048561707,5.256236880189112,0.0,3,0,0,9.98,809.98,0.00023003640234860677,85.31465566039097,6766.483512876471,6766.482558605966,0.0,290.6240392935972,8286.735621902028,11088.200331004457,5544.100165502228,1.49809187987077,101,11,0,5067.08718576999,6364.658400136492,11431.745585906483,2218.412725367297,2218.412725367297,0.0328203714860833,0.05737782554196668,0.0,0.0,3.323809319078503,0.6450091838317858,0.4432470218736235
5,50.0,10.0,0.8372039454849811,0.16014828941334558,0.0,62.03707048561707,62.8471856826124,5.058531689366987,0.0,3,0,0,9.975,809.975,0.0002901981602784702,85.3970723006939,6673.430597189998,6673.42923770044,0.0,295.4378732476595,8442.332453249752,11253.525763260881,5626.7628816304405,1.4960926330916298,101,11,0,5209.359203486837,6543.357679273794,11752.716882760631,2280.7085188473125,2280.7085188473125,0.03274276394190173,0.057295449974888925,0.0,0.0,3.3237933218194926,0.6450086239277205,0.4432472300194808
6,60.0,10.0,0.9973522348983266,0.15814657230115858,0.0,62.8471856826124,63.617774695498056,4.872625449119619,0.0,3,0,0,9.97,809.97,0.00035133921901027486,85.48084412696765,6587.408752173078,6587.407144860254,0.0,300.0695795689893,8591.753777041722,11412.8848608909,5706.44243044545,1.4942082701768926,101,11,0,5346.252278068673,6715.294059363949,12061.546337432621,2340.6587375806707,2340.6587375806707,0.032668222721986356,0.057216025599928035,0.0,0.0,3.3237597148733875,0.6450074476846068,0.44324766729757953
7,70.0,10.0,1.1554988071994852,0.15628701663180955,0.0,63.617774695498056,64.3519084619789,4.697343274587911,0.0,3,0,0,9.965,809.965,0.00041342298835891526,85.56590574733082,6507.616979537383,6507.615237747335,0.0,304.53001022204205,8735.399460064908,11566.601221404566,5783.300610702283,1.4924287607568651,101,11,0,5478.086960252539,6880.870453966934,12358.957414219472,2398.403323913744,2398.403323913744,0.03259654894247218,0.057139392178469285,0.0,0.0,3.323710488963031,0.6450057247777443,0.44324830781840724
8,80.0,10.0,1.3117858238312947,0.15455447881863482,0.0,64.3519084619789,65.05230002730997,4.531680807212069,0.0,3,0,0,9.96,809.96,0.0004764149459910986,85.65219542819408,6433.377430105562,6433.37563554318,0.0,308.82894304222515,8873.626110481879,11714.97009233313,5857.485046166565,1.490745237380081,101,11,0,5605.152054066003,7040.449914749006,12645.601968815008,2454.0683004538487,2454.0683004538487,0.032527565330292274,0.05706540362085333,0.0,0.0,3.3236474069568516,0.6450035169075281,0.4432491286605986
9,90.0,10.0,1.4663403026499298,0.15293599615038211,0.0,65.05230002730997,65.72136021899321,4.374772509575541,0.0,3,0,0,9.955,809.955,0.0005402824489243943,85.73965476844099,6364.111894200458,6364.110105656469,0.0,312.97523708236844,9006.753811155391,11858.26199433584,5929.13099716792,1.4891498177590679,101,11,0,5727.70920981733,7194.361394923903,12922.070604741233,2507.7677891248322,2507.7677891248322,0.032461112851809006,0.056993926167467554,0.0,0.0,3.3235720364182626,0.6450008789386774,0.4432501094457554
10,100.0,10.0,1.6192762988003118,0.15142039573999222,0.0,65.72136021899321,66.36124267119143,4.225866991504745,0.0,3,0,0,9.95,809.95,0.0006049945701805916,85.82822841654705,6299.323583759105,6299.321843316865,0.0,316.97695910166436,9135.071525035006,11996.725748409286,5998.362874204643,1.4876354604085342,101,11,0,5845.996663807446,7342.904442136847,13188.901105944293,2559.605654888172,2559.605654888172,0.0323970480066237,0.05692483686966293,0.0,0.0,3.32348577627405,0.64499785983363,0.44325123199025507
11,110.0,10.0,1.770696694540304,0.14999798636495748,0.0,66.36124267119143,66.97388058398579,4.084307580661516,0.0,3,0,0,9.945,809.945,0.0006705219562402403,85.91786382325107,6238.582848386497,6238.581185878314,0.0,320.8414875977862,9258.841482482172,12130.59102403691,6065.295512018455,1.4861958463314304,101,11,0,5960.232314021247,7486.353058247835,13446.58537226908,2609.676857369819,2609.676857369819,0.03233524063137195,0.05685802231168006,0.0,0.0,3.323389878887559,0.6449945034251028,0.4432524800171979
12,120.0,10.0,1.9206946809052612,0.14866031312060546,0.0,66.97388058398579,67.56101699674484,3.9495168578228457,0.0,3,0,0,9.94,809.94,0.0007368367018500642,86.0085110239229,6181.515855459786,6181.514291692276,0.0,324.5755991558038,9378.30277807842,12260.070498975165,6130.035249487582,1.4848252812419733,101,11,0,6070.616272947172,7624.9589031064115,13695.575176053582,2658.0685724789464,2658.0685724789464,0.03227557209953472,0.05679337752792889,0.0,0.0,3.323285468496836,0.6449908490614276,0.44325383891590864
13,130.0,10.0,2.0693549940258666,0.14739996023522378,0.0,67.56101699674484,68.1242299197645,3.8209842263245717,0.0,3,0,0,9.935,809.935,0.0008039122394236191,86.10012244593702,6127.795531023421,6127.794080126812,0.0,328.1855407222129,9493.674346427419,12385.361701720109,6192.680850860054,1.4835186141399237,101,11,0,6177.333004218935,7758.953976178594,13936.286980397528,2704.861130953016,2704.861130953016,0.03221793383235497,0.05673080507985965,0.0,0.0,3.3231735567448775,0.6449869321501089,0.44325529553946713
