front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,method,objective,lap_time_s,top_speed_mps,fuel_used_kg,tyre_wear_end,tyre_wear_delta,distance_m,high_speed_corner_mps,braking_distance_m,mean_downforce_n,mean_drag_n,max_tyre_load_n,solver_iterations,shift_loss_s,feasible,constraint_reasons,objective_value
17.5,20.0,0.04,0.06,standard,candidate_bank,race,38.70326666451681,84.24082471010605,1.18,0.01715417162896335,0.01715417162896335,2360.0,66.86541812531077,150.0,12581.039185488213,2715.0352115087094,11273.700457834246,17,0.44000000000000006,True,,422.51370164283094
15.62434051064092,14.458158019199306,0.029872161578330482,0.05832128435803828,standard,candidate_bank,race,38.23345855837139,88.91801959122427,1.18,0.017004430629175858,0.017004430629175858,2360.0,68.13116128206084,175.0,12073.898746931443,2279.0046431792257,11391.072347155809,16,0.48000000000000004,True,,420.7097742010457
15.62434051064092,14.278271069654568,0.029872161578330482,0.05832128435803828,standard,candidate_bank,race,38.23631830216349,89.00194947141199,1.18,0.01699643045407163,0.01699643045407163,2360.0,68.12872049961634,175.0,12055.179079433497,2267.810366195862,11382.377981878575,16,0.48000000000000004,True,,420.7565749168608
15.62434051064092,14.648038980756315,0.029872161578330482,0.05832128435803828,standard,candidate_bank,race,38.23983798942762,88.82952210089722,1.18,0.01700874498389477,0.01700874498389477,2360.0,68.09861843689684,150.0,12088.18766406995,2289.923160221094,11400.47114657504,16,0.48000000000000004,True,,420.7105359453454
15.62434051064092,14.721359549995794,0.029872161578330482,0.05832128435803828,standard,candidate_bank,race,38.24274288199814,88.7949315826899,1.18,0.017010799338525878,0.017010799338525878,2360.0,68.08459076495811,150.0,12093.430337735046,2294.1264085592643,11406.835063872899,16,0.48000000000000004,True,,420.7128203819538
15.62434051064092,13.987207871158645,0.029872161578330482,0.05832128435803828,standard,candidate_bank,race,38.25607965947461,89.0419076752493,1.18,0.016962144247900716,0.016962144247900716,2360.0,68.08936094732671,175.0,12012.674526437766,2247.6362657377326,11328.807130321673,16,0.48000000000000004,True,,420.9236949653748
15.62434051064092,15.194247132368426,0.029872161578330482,0.05832128435803828,standard,candidate_bank,race,38.261995612752195,88.56867241071188,1.18,0.017023512817982315,0.017023512817982315,2360.0,67.99264008152859,150.0,12126.94051963114,2321.7106227978106,11449.148154322034,17,0.48000000000000004,True,,420.7940135022701
17.5,20.0,0.04,0.06,standard,candidate_bank,overtaking,38.70326666451681,84.24082471010605,1.18,0.01715417162896335,0.01715417162896335,2360.0,66.86541812531077,150.0,12581.039185488213,2715.0352115087094,11273.700457834246,17,0.44000000000000006,True,,-84.24082471010605
15.62434051064092,14.458158019199306,0.029872161578330482,0.05832128435803828,standard,candidate_bank,overtaking,38.23345855837139,88.91801959122427,1.18,0.017004430629175858,0.017004430629175858,2360.0,68.13116128206084,175.0,12073.898746931443,2279.0046431792257,11391.072347155809,16,0.48000000000000004,True,,-88.91801959122427
15.62434051064092,14.278271069654568,0.029872161578330482,0.05832128435803828,standard,candidate_bank,overtaking,38.23631830216349,89.00194947141199,1.18,0.01699643045407163,0.01699643045407163,2360.0,68.12872049961634,175.0,12055.179079433497,2267.810366195862,11382.377981878575,16,0.48000000000000004,True,,-89.00194947141199
15.62434051064092,14.648038980756315,0.029872161578330482,0.05832128435803828,standard,candidate_bank,overtaking,38.23983798942762,88.82952210089722,1.18,0.01700874498389477,0.01700874498389477,2360.0,68.09861843689684,150.0,12088.18766406995,2289.923160221094,11400.47114657504,16,0.48000000000000004,True,,-88.82952210089722
