sample_index,distance_m,step_m,time_s,dt_s,shift_loss_s,speed_mps,exit_speed_mps,acceleration_mps2,lateral_acceleration_mps2,gear,drs,drs_zone,fuel_kg,mass_kg,tyre_wear,tyre_temperature_c,engine_force_n,available_engine_force_n,brake_force_n,rolling_force_n,front_tyre_load_n,rear_tyre_load_n,max_wheel_load_n,tyre_mu,segment_id,sector_id,radius_m,front_downforce_n,rear_downforce_n,downforce_n,drag_n,drag_longitudinal_n,front_height_m,rear_height_m,yaw_deg,roll_deg,cl_down,cd,front_aero_fraction
0,0.0,10.0,0.0,0.12506192192115237,0.0,79.93846193335392,79.98231725161156,0.35066883335834975,0.0,4,0,0,10.0,810.0,0.0,85.0,5178.996060497238,5178.9838081343,0.0,426.1538544417427,12315.897056572905,16094.35990620994,8047.17995310497,1.4468439032784357,301,31,0,8765.043277824594,11701.827184958252,20466.87046278285,4468.800451035233,4468.800451035233,0.03568465868068445,0.05422026920410138,0.0,0.0,3.4860865429996,0.761163029004986,0.4282551792059774
1,10.0,10.0,0.1250619219211524,0.12499436087355686,0.0,79.98231725161156,80.02490115587975,0.3406866035441453,0.0,4,0,0,9.995,809.995,8.705579712421448e-05,85.12821252228794,5176.154698653872,5176.144105673036,0.0,426.49159500163535,12326.209657332834,16106.56334277619,8053.281671388095,1.4470488452365742,301,31,0,8774.704001081815,11714.731532277212,20489.43553335903,4473.708658214497,4473.708658214497,0.0356795725833993,0.054214275677597665,0.0,0.0,3.486103915849143,0.76116363705472,0.4282550383975021
2,20.0,10.0,0.25005628279470926,0.12492882720649841,0.0,80.02490115587975,80.06625192075508,0.3309945814746243,0.0,4,0,0,9.99,809.99,0.00017417859877337651,85.2561098692938,5173.399133979519,5173.389707705772,0.0,426.8196960401713,12336.227539697486,16118.418862980603,8059.2094314903015,1.4472444264007516,301,31,0,8784.089603043205,11727.268366134884,20511.35796917809,4478.477136890718,4478.477136890718,0.035674631472497935,0.054208452560149945,0.0,0.0,3.4861207081529644,0.7611642247853537,0.4282549022957348
3,30.0,10.0,0.37498511000120766,0.12486525595732474,0.0,80.06625192075508,80.10640657149526,0.32158385799411915,0.0,4,0,0,9.985,809.985,0.0002613665000326232,85.38368992028026,5170.7264890750985,5170.717875113639,0.0,427.1384380249398,12345.95930978534,16129.936558543981,8064.9682792719905,1.447430630060374,301,31,0,8793.20808810762,11739.4483799717,20532.65646807932,4483.109949832792,4483.109949832792,0.0356698311169392,0.05420279491348541,0.0,0.0,3.4861369415988444,0.7611647929559595,0.4282547707247624
4,40.0,10.0,0.4998503659585324,0.12480358450625649,0.0,80.10640657149526,80.14540093165691,0.3124458349166616,0.0,4,0,0,9.98,809.98,0.00034861765277459573,85.51095065605567,5168.134005229703,5168.125967933707,0.0,427.4480928028277,12355.413306699524,16141.126213488991,8070.563106744496,1.4476074435150101,301,31,0,8802.06721466334,11751.281938525173,20553.349153188516,4487.611035061077,4487.611035061077,0.03566516741683612,0.054197297949667995,0.0,0.0,3.4861526369434506,0.7611653422930207,0.42825464351622927
5,50.0,10.0,0.6246539504647889,0.1247437524756211,0.0,80.14540093165691,80.18326966776759,0.303572205895307,0.0,4,0,0,9.975,809.975,0.00043593026377173574,85.6378901554951,5165.619031574452,5165.611441048674,0.0,427.74892390146147,12364.597612421026,16151.99731434307,8075.998657171535,1.4477748579009406,301,31,0,8810.674503689364,11762.779089324733,20573.4535930141,4491.984210202939,4491.984210202939,0.03566063639859869,0.05419195702613027,0.0,0.0,3.4861678140601438,0.761165873492105,0.42825452050894885
6,60.0,10.0,0.74939770294041,0.12458382968445822,0.0,80.18326966776759,80.35120780539515,1.3479930585928286,0.0,4,1,1,9.97,809.97,0.0005233025932073151,85.7645065927366,5163.179124430089,5163.171840152852,0.0,384.05655027081565,12307.702992635373,13296.067025419004,6648.033512709502,1.4631025720191546,301,31,0,8824.297618882743,8836.380098671636,17660.67771755438,3687.288636490841,3687.288636490841,0.035691774246929715,0.055602047011910696,0.0,0.0,2.9897724886994173,0.6242203328537331,0.49965792706310236
7,70.0,10.0,0.8739815326248682,0.12432723030976023,0.0,80.35120780539515,80.51459729755913,1.3141891101161036,0.0,4,1,1,9.965,809.965,0.0006016969594371863,85.87576331692148,5152.388465431155,5152.380546695431,0.0,385.1741217455453,12347.200069034463,13331.074714001888,6665.537357000944,1.4629286048020185,301,31,0,8861.534530653229,8873.696985133121,17735.23151578635,3702.7671611104197,3702.7671611104197,0.03567237715148243,0.05558493697610248,0.0,0.0,2.989856488223454,0.6242231690729565,0.49965711035491517
8,80.0,10.0,0.9983087629346286,0.1240785785216017,0.0,80.51459729755913,80.67358069658238,1.2813122209935954,0.0,4,1,1,9.96,809.96,0.0006803151806338946,85.98702227324817,5141.932754234944,5141.924742788855,0.0,386.2636281056183,12385.700084091533,13365.208456283022,6682.604228141511,1.4627563782559427,301,31,0,8897.836982667863,8910.077323706691,17807.914306374554,3717.8574796133526,3717.8574796133526,0.03565346915974385,0.055568253334759767,0.0,0.0,2.9899374729294195,0.6242259034977344,0.4996563230025639
9,90.0,10.0,1.1223873414562302,0.12383757101098244,0.0,80.67358069658238,80.82829500014226,1.2493325111016929,0.0,4,1,1,9.955,809.955,0.0007591516068177781,86.09827405333279,5131.799191656832,5131.791553384447,0.0,387.3258390897834,12423.230684960334,13398.491921025225,6699.245960512612,1.4625855279172066,301,31,0,8933.230604125281,8945.546801110277,17878.77740523556,3732.5702385376767,3732.5702385376767,0.03563503670785961,0.05555198454457683,0.0,0.0,2.9900155683572707,0.6242285403668866,0.4996555637808492
