scenario,initial_fuel_kg,initial_wear,lap_time_s,circuit_id,setup_id,delta_from_reference_s
reference,10,0.0,38.34840883774976,2,14,0.0
heavy_fuel,60,0.0,39.127155056055855,2,14,0.7787462183060967
worn_tyre,10,0.15,41.84172985074244,2,14,3.4933210129926806
