sample_index,distance_m,step_m,time_s,dt_s,shift_loss_s,speed_mps,exit_speed_mps,acceleration_mps2,lateral_acceleration_mps2,gear,drs,drs_zone,fuel_kg,mass_kg,tyre_wear,tyre_temperature_c,engine_force_n,available_engine_force_n,brake_force_n,rolling_force_n,front_tyre_load_n,rear_tyre_load_n,max_wheel_load_n,tyre_mu,segment_id,sector_id,radius_m,front_downforce_n,rear_downforce_n,downforce_n,drag_n,drag_longitudinal_n,front_height_m,rear_height_m,yaw_deg,roll_deg,cl_down,cd,front_aero_fraction
0,0.0,10.0,0.0,0.11518636736417713,0.0,86.75987803750739,86.87178044484861,0.9714900287412093,0.0,5,0,0,10.0,810.0,0.0,85.0,4771.798666018115,4771.790940289503,0.0,434.3229707958035,12928.028604585936,16026.836115134298,8013.418057567149,1.44474454809067,301,31,0,9419.080256525967,11592.397963194266,21011.478219720233,3550.568771941932,3550.568771941932,0.0337088385541235,0.0492830551594841,0.0,0.0,3.038204768493955,0.5134029534226334,0.4482826081073025
1,10.0,10.0,0.11518636736417712,0.11503969459554583,0.0,86.87178044484861,86.98125411261945,0.951616467304848,0.0,5,0,0,9.995,809.995,8.980195538625442e-05,85.13278183297601,4765.650163589344,4765.644238900248,0.0,435.128611049586,12953.470407040973,16055.103662931431,8027.551831465716,1.4448231371161797,301,31,0,9443.20226203969,11622.034341182714,21065.2366032224,3559.7169721051673,3559.7169721051673,0.033696044262227665,0.0492688138685276,0.0,0.0,3.0381358944231636,0.5134005428301558,0.4482837026665601
2,20.0,10.0,0.23022606195972295,0.11489656194269086,0.0,86.98125411261945,87.08835825729443,0.932178847339219,0.0,5,0,0,9.99,809.99,0.00017976971887286302,85.26539768346719,4759.651029496235,4759.646250489459,0.0,435.9176654414859,12978.386908398516,16082.790787700545,8041.395393850273,1.4448942424879077,301,31,0,9466.828408703206,11651.060853895855,21117.889262599063,3568.677819498456,3568.677819498456,0.03368351269238529,0.049254862916589696,0.0,0.0,3.0380679090229004,0.5133981633411465,0.44828478315157555
3,30.0,10.0,0.3451226239024138,0.11475686755061937,0.0,87.08835825729443,87.19315035200933,0.9131662178620445,0.0,5,0,0,9.985,809.985,0.0002698998632033569,85.39784240124285,4753.796871056678,4753.79268003739,0.0,436.69050092729634,13002.789808949492,16109.91025287026,8054.95512643513,1.4449577602798547,301,31,0,9489.969657084908,11679.491004484846,21169.460661569756,3577.455431154394,3577.455431154394,0.03367123803473671,0.04924119598172075,0.0,0.0,3.0380008132547642,0.5133958149892618,0.44828584954517253
4,40.0,10.0,0.4598794914530332,0.11462051324393388,0.0,87.19315035200933,87.29568619190199,0.8945679703462247,0.0,5,0,0,9.98,809.98,0.00036018903849844306,85.53011098195844,4748.083460229925,4748.079388445443,0.0,437.4474751486662,13026.690507955864,16136.474501955212,8068.237250977606,1.4450135930534922,301,31,0,9512.636689857616,11707.337953053458,21219.974642911075,3586.053820460223,3586.053820460223,0.033659214627641244,0.04922780689850692,0.0,0.0,3.0379346072748405,0.5133934977799645,0.4482869018429995
5,50.0,10.0,0.574500004696967,0.11448740435052633,0.0,87.29568619190199,87.39601996964184,0.8763739409503615,0.0,5,0,0,9.975,809.975,0.00045063397025061665,85.66219856333329,4742.506819940645,4742.502385397422,0.0,438.18893672317245,13050.100105409338,16162.495676135493,8081.247838067747,1.4450616496116795,301,31,0,9534.839920456943,11734.614527337888,21269.45444779483,3594.4769003962033,3594.4769003962033,0.03364743695685379,0.049214689649363305,0.0,0.0,3.0378692904557574,0.5133912116912965,0.44828794005318245
6,60.0,10.0,0.6889874090474933,0.11429383659006198,0.0,87.39601996964184,87.59154363568236,1.7107104973805236,0.0,5,1,1,9.97,809.97,0.0005412314566346477,85.7941004202028,4737.063245550399,4737.057821898621,0.0,395.54584347991096,13038.590553707872,13331.132344952854,6665.566172476427,1.4593680504353153,301,31,0,9579.667700279813,8846.962897880912,18426.630598160726,2955.8932205071856,2955.8932205071856,0.03366465924290708,0.05063859812482667,0.0,0.0,2.6257956129681457,0.4212149046708941,0.5198816815286902
7,70.0,10.0,0.8032812456375553,0.11404156362386544,0.0,87.59154363568236,87.78311244992227,1.6798157457026264,0.0,5,1,1,9.965,809.965,0.0006227613189043014,85.9104757892149,4726.490513745582,4726.483662874368,0.0,396.77749408456344,13083.386325418383,13368.446613552514,6684.223306776257,1.4591745412186106,301,31,0,9622.39951852822,8886.390153192679,18508.7896717209,2969.1210591929903,2969.1210591929903,0.03364226799860828,0.050619946728071276,0.0,0.0,2.625741447075024,0.42121307577544403,0.5198826983932955
8,80.0,10.0,0.9173228092614208,0.11379545887232967,0.0,87.78311244992227,87.97082534506973,1.64956402485318,0.0,5,1,1,9.96,809.96,0.0007045467916922184,86.02688919443185,4716.177202892612,4716.169072225311,0.0,397.98671254427603,13127.361435826078,13405.08606712566,6702.54303356283,1.4589800696200352,301,31,0,9664.354103656919,8925.09916529482,18589.453268951736,2982.1096127782544,2982.1096127782544,0.0336202840028637,0.05060162929654711,0.0,0.0,2.6256870725848893,0.42121123983677716,0.5198837192161216
9,90.0,10.0,1.0311182681337505,0.11355532429461636,0.0,87.97082534506973,88.15477796094979,1.6199382725797933,0.0,5,1,1,9.955,809.955,0.0007865832069706208,86.14333274218342,4706.114944807051,4706.105670556863,0.0,399.1739700101235,13170.533347956589,13441.06465271831,6720.532326359155,1.4587843837515253,301,31,0,9705.547766249703,8963.105033675196,18668.6527999249,2994.863871229561,2994.863871229561,0.03359869865521878,0.05058363900338569,0.0,0.0,2.6256325334924497,0.42120939834036186,0.5198847431716522
