candidate,front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,valid_draws,draws,mean_lap_s,sd_lap_s,robust_objective_s,feasible_fraction
qualifying,15.62434051064092,14.458158019199306,0.029872161578330482,0.05832128435803828,standard,30,30,38.5899953177804,0.8755222264185856,39.46551754419899,1.0
baseline,17.5,20.0,0.04,0.06,standard,30,30,38.87094181991154,0.6320554789957745,39.50299729890732,1.0
moderate,19.0,23.0,0.04,0.065,standard,30,30,39.17770561830283,0.5771579702510845,39.75486358855392,1.0
