scenario_id,name,pressure_pa,temperature_k,grip,headwind_mps,crosswind_mps,aero_multiplier,density_multiplier,height_offset_m,baseline_lap_s,candidate_lap_s,delta_s,feasible,error
1,Dry,101325.0,288.15,0.9607491142472291,4.606981507161672,1.0811968773240408,1.0147831067547692,0.9808916026262169,0.0016330104381247585,38.7358685485227,38.07923717387686,-0.6566313746458405,True,
2,Dry,101325.0,288.15,0.9753802593569206,-0.43129390028835246,0.21422804575830545,0.9849460259593809,0.9891176706467777,0.0012304151776049016,39.151126693583564,38.95958809445144,-0.191538599132123,True,
3,Dry,101325.0,288.15,1.012496838004198,-2.262376585440996,1.3451740979306854,1.024162588557408,0.9889318798419771,-0.001708476450456285,38.83683730227644,38.61244704577089,-0.22439025650555067,True,
4,Dry,101325.0,288.15,1.0106973999844402,3.2213405047427326,-1.7987198146048362,1.0266224098649708,0.9876955486457235,0.0013918946997310733,38.20957809687606,37.56933888613077,-0.6402392107452854,True,
5,Dry,101325.0,288.15,1.0326281617469018,4.142885557887334,1.4297355372879843,1.0202514979842094,1.0176479437289092,0.00012545026508495576,37.701587781912785,37.145733322549646,-0.5558544593631396,True,
6,Dry,101325.0,288.15,0.9596830234034178,0.22814316516685018,-0.6801475077520158,1.0342341694351485,1.0097692533117588,-0.0013217531945183998,39.20530540951628,38.841286413251126,-0.3640189962651519,True,
7,Dry,101325.0,288.15,0.9654104099551502,1.380274096275218,-1.1649850245814717,1.0434686910050563,1.0193175631113292,-0.0017826779920684678,38.89335764565205,38.445805287468545,-0.4475523581835077,True,
8,Dry,101325.0,288.15,0.978802073643309,2.3598811215569038,-1.205573946072581,0.9999307675454293,1.0105224112001614,-0.001229658931950954,38.66106745111453,38.1603456417628,-0.5007218093517309,True,
9,Dry,101325.0,288.15,0.9742647797599522,-1.5288725500668674,0.4043293751744095,1.0363890112650802,1.0007422036246973,0.00040592425426050913,39.239187165206864,38.94416184691743,-0.2950253182894329,True,
10,Dry,101325.0,288.15,0.962901631781946,4.242354530981224,0.3363245090331244,0.9605985969381546,1.0058944354057466,0.0001345308944478334,38.73708836395744,38.227106208106285,-0.509982155851155,True,
11,Dry,101325.0,288.15,1.010035877078026,-3.987519939287009,0.4287843727583054,0.9923834198563581,1.0114251149720026,-0.001861588628150161,39.0221504793724,39.1046085062469,0.0824580268744981,True,
12,Dry,101325.0,288.15,1.0389213895344125,-1.6273462248995472,0.9624409630990152,1.0077725852740074,0.9882124205811849,0.00020393874947179178,38.41226384029387,37.922070583705434,-0.4901932565884337,True,
13,Dry,101325.0,288.15,0.9846729226614909,-0.16728372397782643,0.049685496717522426,0.9710727365234465,1.0168375800679321,0.0017767954899574915,39.01219535149833,38.6704014453484,-0.341793906149924,True,
14,Dry,101325.0,288.15,1.0445279190386008,4.896174175531122,-1.1827462691760933,0.9687518161754582,0.9851018561475258,0.0017817761106769911,37.68671270653242,37.03786516584865,-0.6488475406837679,True,
15,Dry,101325.0,288.15,1.005063869127199,-0.01126944562359089,-0.29757793620207496,1.0161699723550217,1.008077920621629,-0.0013547555354789195,38.54581893036704,38.12346396939958,-0.4223549609674606,True,
16,Dry,101325.0,288.15,0.9695438927075417,-3.930057009600226,-0.2778524289225408,1.0492698557438227,1.001471071319285,0.0012347757523149942,39.59804369914914,39.5327949610935,-0.06524873805563658,True,
17,Dry,101325.0,288.15,0.9697267871194589,0.05023914923857564,-1.9700590957760657,0.9883478245839401,1.006865948245789,0.0005938158408270149,39.174880335272896,38.85157406535919,-0.3233062699137079,True,
18,Dry,101325.0,288.15,1.0008747778466935,-0.05654402416961002,-0.6107393211471748,1.0135582892846071,0.9863568102703061,0.0013904568151790553,38.770831833422655,38.19812952655861,-0.5727023068640449,True,
