sample_index,distance_m,step_m,time_s,dt_s,shift_loss_s,speed_mps,exit_speed_mps,acceleration_mps2,lateral_acceleration_mps2,gear,drs,drs_zone,fuel_kg,mass_kg,tyre_wear,tyre_temperature_c,engine_force_n,available_engine_force_n,brake_force_n,rolling_force_n,front_tyre_load_n,rear_tyre_load_n,max_wheel_load_n,tyre_mu,segment_id,sector_id,radius_m,front_downforce_n,rear_downforce_n,downforce_n,drag_n,drag_longitudinal_n,front_height_m,rear_height_m,yaw_deg,roll_deg,cl_down,cd,front_aero_fraction
0,0.0,10.0,0.0,0.12585246599736327,0.0,79.42874838113948,79.48748612807562,0.4667190783322894,0.0,4,0,0,10.0,810.0,0.0,85.0,5212.226576552945,5212.218603941959,0.0,422.2331709526928,12196.160823337686,15952.717240175167,7976.358620087583,1.4480406860242465,201,21,0,8653.140436125117,11552.351127387736,20205.491563512853,4411.950952151098,4411.950952151098,0.03574358240364074,0.054289673946626794,0.0,0.0,3.4858787881355036,0.7611557575847426,0.4282568631861938
1,10.0,10.0,0.12585246599736327,0.12576086462043778,0.0,79.48748612807562,79.5444993815862,0.4533465453077497,0.0,4,0,0,9.995,809.995,8.628456581027435e-05,85.12692927669555,5208.375064094376,5208.367004246872,0.0,422.6829934075573,12209.90121283198,15968.96501433851,7984.482507169255,1.448207331916525,201,21,0,8666.00005570836,11569.52870471213,20235.52876042049,4418.483635720268,4418.483635720268,0.03573681018569472,0.05428169985320694,0.0,0.0,3.4859032723417607,0.7611566145319616,0.4282566647162959
2,20.0,10.0,0.25161333061780106,0.1256720780431294,0.0,79.5444993815862,79.59984128202724,0.4403675128379746,0.0,4,0,0,9.99,809.99,0.00017265825494200315,85.25358445176104,5204.642307436763,5204.6339246411435,0.0,423.11989914041084,12223.246380611334,15984.746895416056,7992.373447708028,1.4483660189176553,201,21,0,8678.49102567997,11586.21381684742,20264.70484252739,4424.829126572721,4424.829126572721,0.03573023235600185,0.05427395388594333,0.0,0.0,3.485926902817191,0.7611574415986017,0.42825647316941623
3,30.0,10.0,0.3772854086609304,0.1255860122309892,0.0,79.59984128202724,79.65356317526363,0.427769719589287,0.0,4,0,0,9.985,809.985,0.0002591185127730798,85.37996218673229,5201.024258780208,5201.015395661054,0.0,423.54426859089943,12236.208012068086,16000.076560658543,8000.038280329271,1.4485166801561422,201,21,0,8690.624203315714,11602.420969160916,20293.04517247663,4430.992933867779,4430.992933867779,0.0357238431714642,0.05426642935501229,0.0,0.0,3.485949713184965,0.7611582399614738,0.4282562882727315
4,40.0,10.0,0.5028714208919196,0.1255025767482331,0.0,79.65356317526363,79.70571468340053,0.4155413337968639,0.0,4,0,0,9.98,809.98,0.0003456628611052304,85.50605928141574,5197.517034944087,5197.507600370192,0.0,423.9564703291969,12248.797424867236,16014.967263745895,8007.483631872948,1.4486592546614856,201,21,0,8702.410107179634,11618.164214433496,20320.57432161313,4436.980395066106,4436.980395066106,0.03571763706954018,0.054259119777439135,0.0,0.0,3.4859717355511117,0.7611590107442889,0.4282561097657402
5,50.0,10.0,0.6283739976401527,0.12542168459202277,0.0,79.70571468340053,79.75634377209614,0.40367093505642515,0.0,4,0,0,9.975,809.975,0.000432288895670804,85.63187266928001,5194.11690904071,5194.106867298681,0.0,424.35686147228375,12261.025582054617,16029.431849430968,8014.715924715484,1.4487936871111864,201,21,0,8713.858929002312,11633.457168733274,20347.316097735587,4442.796681946099,4442.796681946099,0.03571160866181217,0.05425201886995797,0.0,0.0,3.4859930005823783,0.7611597550203832,0.42825593739962886
6,60.0,10.0,0.7537956822321754,0.12534325203618704,0.0,79.75634377209614,79.80549681447113,0.3921474955890517,0.0,4,0,0,9.97,809.97,0.0005189942837350378,85.75739941302146,5190.820301450257,5190.809663780546,0.0,424.74578808262595,12272.903104698327,16043.482767476738,8021.741383738369,1.448919927589468,201,21,0,8724.980545056851,11648.313026618216,20373.293571675065,4448.446806365367,4448.446806365367,0.03570575272778313,0.054245120542217896,0.0,0.0,3.486013537580057,0.7611604738153019,0.4282557709366721
7,70.0,10.0,0.8791389342683624,0.1252671984509453,0.0,79.80549681447113,79.85321869381903,0.3809606979164073,0.0,4,0,0,9.965,809.965,0.000605776761872106,85.88263670043372,5187.624042968567,5187.612589674768,0.0,425.1235855403603,12284.440261082964,16057.132108274387,8028.5660541371935,1.4490379313348207,201,21,0,8735.784526794452,11662.7445753129,20398.52910210735,4453.935625740343,4453.935625740343,0.03570006422028064,0.05423841887897364,0.0,0.0,3.4860333744544083,0.7611611681059043,0.4282556101504381
8,80.0,10.0,1.0044061327193077,0.12519344617289985,0.0,79.85321869381903,79.89955280812343,0.37010015876080615,0.0,4,0,0,9.96,809.96,0.0006926341313747762,86.00758183635361,5184.5247568741715,5184.512368717396,0.0,425.4905792490615,12295.64703920133,16070.391577402772,8035.195788701386,1.449147658465958,201,21,0,8746.28016095049,11676.764221653613,20423.0443826041,4459.267853035207,4459.267853035207,0.03569453822964379,0.05423190815345629,0.0,0.0,3.486052538019882,0.7611618388306959,0.4282554548233944
9,90.0,10.0,1.1295995788922075,0.1251219204621103,0.0,79.89955280812343,79.94454106555115,0.35955536217443296,0.0,4,0,0,9.955,809.955,0.0007795642589403357,86.13223224341291,5181.518803793122,5181.505846399536,0.0,425.84708457522936,12306.533149535055,16083.272488813573,8041.636244406786,1.4492490739119612,201,21,0,8756.476447811721,11690.383989786906,20446.860437598625,4464.4480558479,4464.4480558479,0.035689169982357424,0.054225582830818006,0.0,0.0,3.486071054052653,0.7611624868918428,0.42825530474643975
