run_id,circuit_id,setup_id,sector_id,sector_time_s,sector_distance_m,average_speed_kmh
10101,101,10101,1011,41.016227181152786,1965.0,172.46832500602463
10101,101,10101,1012,38.72603112599455,1960.0,182.20302455068042
10101,101,10101,1013,41.209719564363255,1962.3269872656401,171.42502372826954
10102,101,10102,1011,41.14613433213478,1965.0,171.92380559734056
10102,101,10102,1012,39.66997421156791,1960.0,177.86752172736337
10102,101,10102,1013,41.81609857917119,1962.3269872656401,168.93917400690046
10103,101,10103,1011,41.06470488504921,1965.0,172.2647227053492
10103,101,10103,1012,39.19372187243462,1960.0,180.0288327545275
10103,101,10103,1013,41.534633825608566,1962.3269872656401,170.08401190720735
10104,101,10104,1011,41.189673634615296,1965.0,171.74207454887667
10104,101,10104,1012,38.93584828825503,1960.0,181.22117046897466
10104,101,10104,1013,41.4094794904058,1962.3269872656401,170.5980669424511
10105,101,10105,1011,41.05502115987631,1965.0,172.30535510997439
10105,101,10105,1012,39.36891268082153,1960.0,179.22770834962157
10105,101,10105,1013,41.6283122730089,1962.3269872656401,169.70126263650442
10106,101,10106,1011,40.99993006338713,1965.0,172.53687967426728
10106,101,10106,1012,38.93865851088222,1960.0,181.20809164568558
10106,101,10106,1013,41.34678484945502,1962.3269872656401,170.8567469001019
10107,101,10107,1011,41.14320092668579,1965.0,171.93606332685093
10107,101,10107,1012,38.72876383560187,1960.0,182.1901682674852
10107,101,10107,1013,41.219184687959505,1962.3269872656401,171.3856595572079
10108,101,10108,1011,41.017531115099764,1965.0,172.46284229417827
10108,101,10108,1012,39.14710188141667,1960.0,180.24322774579437
10108,101,10108,1013,41.48655601325167,1962.3269872656401,170.28111834348928
10109,101,10109,1011,40.98860010486667,1965.0,172.5845718541651
10109,101,10109,1012,38.72936437312866,1960.0,182.1873432267228
10109,101,10109,1013,41.20454550650648,1962.3269872656401,171.44654958130266
10110,101,10110,1011,41.151429676324106,1965.0,171.90168253303545
10110,101,10110,1012,38.66973276493831,1960.0,182.4682896799754
10110,101,10110,1013,41.094433547013146,1962.3269872656401,171.90593821118048
