track_point_id,circuit_id,point_index,distance_m,step_m,x_m,y_m,heading_rad,curvature_1pm,classification,sector_id,is_synthetic,is_derived,data_source
10100000,101,0,0.0,5.0,0.0005120598486360903,-0.0003965331059391493,0.9062590337416507,-0.00024816888508282447,straight,1011,False,True,OSM-derived smoothed centreline
10100001,101,1,5.0,5.0,3.0831883005948892,3.9362395919397986,0.9073557895229526,0.0005636829395468598,straight,1011,False,True,OSM-derived smoothed centreline
10100002,101,2,10.0,5.0,6.156150976173892,7.880460599147591,0.910563942139399,0.000654368617463389,straight,1011,False,True,OSM-derived smoothed centreline
10100003,101,3,15.0,5.0,9.216415361550606,11.834542380867497,0.9136563003118958,0.0005786464440998893,straight,1011,False,True,OSM-derived smoothed centreline
10100004,101,4,20.0,5.0,12.265234019239012,15.797456758560768,0.9163416705948214,0.0004954741521947328,straight,1011,False,True,OSM-derived smoothed centreline
10100005,101,5,25.0,5.0,15.304225979361831,19.767912344686614,0.9186110236836614,0.00041226755122329164,straight,1011,False,True,OSM-derived smoothed centreline
10100006,101,6,30.0,5.0,18.335027237235252,23.74462415982593,0.9204643553755614,0.0003290663158781927,straight,1011,False,True,OSM-derived smoothed centreline
10100007,101,7,35.0,5.0,21.359281537242065,27.726317492075008,0.9219017010927495,0.0002458733919449632,straight,1011,False,True,OSM-derived smoothed centreline
10100008,101,8,40.0,5.0,24.378638699572857,31.711725907142544,0.9229231038774035,0.0001626889902145535,straight,1011,False,True,OSM-derived smoothed centreline
10100009,101,9,45.0,5.0,27.39475302074159,35.6995892026341,0.9235286067850447,7.951667202904378e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100010,101,10,50.0,5.0,30.409281195902853,39.68865172459215,0.9237187995922901,-3.232732442132933e-06,straight,1011,False,True,OSM-derived smoothed centreline
10100011,101,11,55.0,5.0,33.423864143336935,43.677672852348785,0.9235065338297306,-7.919721461418898e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100012,101,12,60.0,5.0,36.43997357603521,47.66553986654269,0.9229784650381843,-0.00012520124236216126,straight,1011,False,True,OSM-derived smoothed centreline
10100013,101,13,65.0,5.0,39.458509274561656,51.65157064509952,0.9223216305710528,-0.00013317119328764852,straight,1011,False,True,OSM-derived smoothed centreline
10100014,101,14,70.0,5.0,42.47967633267913,55.63560738625268,0.9216692648413765,-0.00012713214535306898,straight,1011,False,True,OSM-derived smoothed centreline
10100015,101,15,75.0,5.0,45.50337357797069,59.61772418606403,0.9210522556418583,-0.00011964982529916948,straight,1011,False,True,OSM-derived smoothed centreline
10100016,101,16,80.0,5.0,48.529452555847534,63.598031378741965,0.9204728074621863,-0.00011212938764943525,straight,1011,False,True,OSM-derived smoothed centreline
10100017,101,17,85.0,5.0,51.557762609344586,67.57664139137829,0.9199309625721291,-0.00010460849715047018,straight,1011,False,True,OSM-derived smoothed centreline
10100018,101,18,90.0,5.0,54.58815323464575,71.5536669318452,0.9194267231898152,-9.708719477517921e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100019,101,19,95.0,5.0,57.62047409790947,75.52922094942305,0.9189600912208981,-8.956554094205367e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100020,101,20,100.0,5.0,60.65457502385671,79.50341661685063,0.9185310682850588,-8.204358967047967e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100021,101,21,105.0,5.0,63.690305984182615,83.47636731250083,0.9181396557477115,-7.452138877070777e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100022,101,22,110.0,5.0,66.7275170858063,87.4481866026726,0.9177858547491878,-6.699898047890633e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100023,101,23,115.0,5.0,69.76605855897228,91.41898822399008,0.9174696662311157,-5.9476402130044254e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100024,101,24,120.0,5.0,72.80578074521789,95.3888860658994,0.9171910909606439,-5.195368639736277e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100025,101,25,125.0,5.0,75.84653408522007,99.35799415325344,0.916950129551764,-4.443086178805091e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100026,101,26,130.0,5.0,78.88816910653559,103.3264266289756,0.9167467824843072,-3.690795359844059e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100027,101,27,135.0,5.0,81.93053641124797,107.29429773679178,0.9165810501202429,-2.938498374817908e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100028,101,28,140.0,5.0,84.97348666353514,111.26172180402197,0.9164529327175326,-2.1861972068518144e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100029,101,29,145.0,5.0,88.01687057717118,115.22881322442062,0.9163624304412978,-1.4338935908779997e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100030,101,30,150.0,5.0,91.06053890297535,119.1956864410564,0.9163095433727226,-6.8158914682497386e-06,straight,1011,False,True,OSM-derived smoothed centreline
10100031,101,31,155.0,5.0,94.10434241622264,123.16245592922148,0.9162942715149085,7.07146004544132e-07,straight,1011,False,True,OSM-derived smoothed centreline
10100032,101,32,160.0,5.0,97.14813190402845,127.1292361793595,0.9163166147967234,8.230162061254527e-06,straight,1011,False,True,OSM-derived smoothed centreline
10100033,101,33,165.0,5.0,100.19175815272125,131.09614168000337,0.9163765730736798,1.5753141734292586e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100034,101,34,170.0,5.0,103.23507193521701,135.0632869007119,0.9164741461265694,2.3276069832523114e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100035,101,35,175.0,5.0,106.27792399840783,139.03078627499585,0.9166093336571753,3.079892999917292e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100036,101,36,180.0,5.0,109.32016505057943,142.998754183223,0.9167821352818412,3.832170442390935e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100037,101,37,185.0,5.0,112.36164574886978,146.9673049354924,0.9169925505222496,4.584437297963092e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100038,101,38,190.0,5.0,115.40221668678308,150.9365527544676,0.9172405787935355,5.3366912925701686e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100039,101,39,195.0,5.0,118.44172838188305,154.90661175807554,0.9175262191184382,6.08888909786076e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100040,101,40,200.0,5.0,121.4800313141693,158.87759590343467,0.917849414150834,6.836641710259769e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100041,101,41,205.0,5.0,124.51697781831187,162.84961751372595,0.9182086281773663,7.498985290249728e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100042,101,42,210.0,5.0,127.55244245186614,166.82277169698858,0.9185917358390921,7.715102725777493e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100043,101,43,215.0,5.0,130.58638639234448,170.7970872206572,0.9189683301787345,7.263055973116367e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100044,101,44,220.0,5.0,133.61889154578284,174.77250069050177,0.9193132893481454,6.51991669910442e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100045,101,45,225.0,5.0,136.65010101061156,178.7489022034719,0.9196198289123486,5.7410356246792775e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100046,101,46,230.0,5.0,139.68016892946693,182.72617366314262,0.9198873804921177,4.9610300964889344e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100047,101,47,235.0,5.0,142.70925018897503,186.7041966166689,0.9201159322276866,4.181042041500212e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100048,101,48,240.0,5.0,145.73749976994674,190.68285272186833,0.920305484960604,3.4010695807322385e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100049,101,49,245.0,5.0,148.76507272421262,194.6620237361904,0.9204560394014527,2.621109881795474e-05,straight,1011,False,True,OSM-derived smoothed centreline
10100050,101,50,250.0,5.0,151.79212416132629,198.64159149816348,0.9205675961144547,1.8411599561155474e-05,straight,1011,False,True,OSM-derived smoothed centreline
