simulation_sector_id,run_id,sector_id,sector_time_s
1,1,11,18.6269369435
2,1,12,16.2702837801
3,1,13,14.7003019171
4,2,11,18.9689250916
5,2,12,16.4922427376
6,2,13,15.0483316761
7,3,11,21.4236832329
8,3,12,19.0195595042
9,3,13,17.4647632236
10,4,11,18.7543814725
11,4,12,16.3634824167
12,4,13,14.7706354092
13,5,11,19.1384622586
14,5,12,16.6217188647
15,5,13,15.1321792886
16,6,11,21.5924337406
17,6,12,19.1528478177
18,6,13,17.6180673086
19,7,11,19.3285182286
20,7,12,16.6197637687
21,7,13,15.1765519483
22,8,11,19.6436250399
23,8,12,16.836075017
24,8,13,15.4348308265
25,9,11,21.983442815
26,9,12,19.2960186001
27,9,13,17.8673277509
28,10,11,18.7270683663
29,10,12,16.325533547
30,10,13,14.8284120239
31,11,11,19.0866621827
32,11,12,16.5817928439
33,11,13,15.2486192386
34,12,11,21.5176506028
35,12,12,19.0863755926
36,12,13,17.6423031234
37,13,11,18.8816184773
38,13,12,16.4156929192
39,13,13,14.8316411819
40,14,11,19.262187904
41,14,12,16.617176182
42,14,13,15.155359482
43,15,11,21.6324945832
44,15,12,19.0890232933
45,15,13,17.5305759216
46,16,11,18.6386630506
47,16,12,16.3093508685
48,16,13,14.8932938175
49,17,11,19.0177511208
50,17,12,16.5728131995
51,17,13,15.250398367
52,18,11,21.4912469873
53,18,12,19.149057802
54,18,13,17.7235237176
55,19,11,18.85664389
56,19,12,16.40615685
57,19,13,14.8799503829
58,20,11,19.2155916498
59,20,12,16.6597528899
60,20,13,15.2304073393
61,21,11,21.705461915
62,21,12,19.2201060112
63,21,13,17.7816716766
64,22,11,18.6301255972
65,22,12,16.2872261494
66,22,13,14.7482024577
67,23,11,19.0107159902
68,23,12,16.5517371099
69,23,13,15.1785817086
70,24,11,21.4811227707
71,24,12,19.0800871505
72,24,13,17.6070732312
73,25,11,19.0850457122
74,25,12,16.4725682653
75,25,13,15.0349501142
76,26,11,19.3620294307
77,26,12,16.7088639587
78,26,13,15.3171793017
79,27,11,21.7965158182
80,27,12,19.208638529
81,27,13,17.7897271406
82,28,11,18.5473503761
83,28,12,16.2310680019
84,28,13,14.6989278121
85,29,11,18.9315456138
86,29,12,16.4989984008
87,29,13,15.1271442687
88,30,11,21.3304526655
89,30,12,19.006234976
90,30,13,17.4728649449
91,31,11,18.6807770791
92,31,12,16.2995751816
93,31,13,14.7860273914
94,32,11,19.0450585589
95,32,12,16.5586179658
96,32,13,15.204881851
97,33,11,21.472575763
98,33,12,19.0451645813
99,33,13,17.5760362402
100,34,11,18.977966951
101,34,12,16.4657482083
102,34,13,14.9207149264
103,35,11,19.3800604003
104,35,12,16.701324342
105,35,13,15.239121048
106,36,11,21.6980803664
107,36,12,19.1520749179
108,36,13,17.6288687913
109,37,21,12.3036614816
110,37,22,14.5444354998
111,37,23,12.0212299167
112,38,21,12.7222878694
113,38,22,14.9305545243
114,38,23,12.1012068158
115,39,21,15.318640552
116,39,22,17.4916891964
117,39,23,14.3264422091
118,40,21,12.402480529
119,40,22,14.6432393001
120,40,23,12.0858490308
121,41,21,12.7940541974
122,41,22,15.0325138602
123,41,23,12.1362052765
124,42,21,15.4483516376
125,42,22,17.6397228362
126,42,23,14.4658797163
127,43,21,12.8379757097
128,43,22,14.951155437
129,43,23,12.2994080156
130,44,21,13.3383552858
131,44,22,15.2746022384
132,44,23,12.5408019731
133,45,21,15.9141400497
134,45,22,17.8078738827
135,45,23,14.8088999893
136,46,21,12.4197059544
137,46,22,14.7230044455
138,46,23,11.9178014247
139,47,21,13.0666738377
140,47,22,15.0773164432
141,47,23,12.3076013245
142,48,21,15.6883153701
143,48,22,17.6500527353
144,48,23,14.6063347901
145,49,21,12.4993133643
146,49,22,14.5583319684
147,49,23,12.3019014642
148,50,21,12.8023447408
149,50,22,14.9821602647
150,50,23,12.2005186727
151,51,21,15.4029829598
152,51,22,17.5194230182
153,51,23,14.3558206193
154,52,21,12.3377498744
155,52,22,14.7357164819
156,52,23,11.9367657824
157,53,21,13.0327955648
158,53,22,15.0946649929
159,53,23,12.2846446021
160,54,21,15.6899826835
161,54,22,17.7233302752
162,54,23,14.6810924656
163,55,21,12.4751924965
164,55,22,14.7681701017
165,55,23,12.039375032
166,56,21,13.041355735
167,56,22,15.1289172892
168,56,23,12.2920854301
169,57,21,15.6571690819
170,57,22,17.7477535286
171,57,23,14.6949586423
172,58,21,12.2735924227
173,58,22,14.6171450785
174,58,23,11.9556420235
175,59,21,12.849577772
176,59,22,14.9936939902
177,59,23,12.1904343132
178,60,21,15.4137306582
179,60,22,17.5959363822
180,60,23,14.4702282116
181,61,21,12.6640897266
182,61,22,14.8622861836
183,61,23,12.0753693768
184,62,21,13.2835929382
185,62,22,15.1966714344
186,62,23,12.4522587759
187,63,21,15.7960859054
188,63,22,17.7591231244
189,63,23,14.7594923113
190,64,21,12.1600691568
191,64,22,14.5744073053
192,64,23,11.9286595162
193,65,21,12.8186952237
194,65,22,14.9497241954
195,65,23,12.1583349963
196,66,21,15.4439882014
197,66,22,17.5195355059
198,66,23,14.3892059268
199,67,21,12.3317842738
200,67,22,14.6686253936
201,67,23,11.9130460766
202,68,21,12.9787449667
203,68,22,15.0286961227
204,68,23,12.2553330094
205,69,21,15.5308556421
206,69,22,17.5920251494
207,69,23,14.5222593849
208,70,21,12.594893832
209,70,22,14.7210517088
210,70,23,12.2522257844
211,71,21,13.0181636077
212,71,22,15.0831331437
213,71,23,12.2915074953
214,72,21,15.5661243621
215,72,22,17.6221630618
216,72,23,14.5035240313
217,73,31,8.79452640141
218,73,32,8.65119729178
219,73,33,10.2086791137
220,74,31,8.49072707456
221,74,32,9.02832707346
222,74,33,10.354800068
223,75,31,10.148503363
224,75,32,11.3867913152
225,75,33,11.0550721165
226,76,31,8.87787293758
227,76,32,8.71577185049
228,76,33,10.2717798807
229,77,31,8.60647858317
230,77,32,9.10591478812
231,77,33,10.3772172247
232,78,31,10.2351928348
233,78,32,11.4950160054
234,78,33,11.1388116659
235,79,31,9.19690093078
236,79,32,9.13952340265
237,79,33,10.6465243312
238,80,31,8.98691756078
239,80,32,9.45904206157
240,80,33,10.6752326379
241,81,31,10.7245337179
242,81,32,11.9287007544
243,81,33,11.4273042972
244,82,31,8.49671809982
245,82,32,8.83124380108
246,82,33,10.243523992
247,83,31,8.48769478329
248,83,32,9.3219853392
249,83,33,10.3199023237
250,84,31,10.525770758
251,84,32,11.7654070557
252,84,33,11.1221109762
253,85,31,9.25445927714
254,85,32,8.74706837867
255,85,33,10.4712558374
256,86,31,9.03108278401
257,86,32,9.06545980237
258,86,33,10.5124667621
259,87,31,10.2317632548
260,87,32,11.3422733927
261,87,33,11.319520153
262,88,31,8.33752500902
263,88,32,8.78250568179
264,88,33,10.1591940984
265,89,31,8.37738969089
266,89,32,9.3115916197
267,89,33,10.2485368634
268,90,31,10.4954929725
269,90,32,11.8021527945
270,90,33,11.0999415112
271,91,31,8.76220365817
272,91,32,8.85305367089
273,91,33,10.2978540025
274,92,31,8.45903545549
275,92,32,9.22165839741
276,92,33,10.4231433178
277,93,31,10.449014079
278,93,32,11.7569738657
279,93,33,11.19271183
280,94,31,8.64165310645
281,94,32,8.69493117376
282,94,33,10.1772036389
283,95,31,8.36667531396
284,95,32,9.08306532992
285,95,33,10.3184651994
286,96,31,10.2310855666
287,96,32,11.5305695035
288,96,33,11.0207457031
289,97,31,8.83088292001
290,97,32,9.02666149388
291,97,33,10.4081468614
292,98,31,8.7476566995
293,98,32,9.50600423795
