"circuit","timestamp_utc","model_version","dataset_id","is_synthetic","disclaimer","confidence","assumptions","source_url","source_license","source_sha256","baseline_front_wing_deg","baseline_rear_wing_deg","baseline_front_height_m","baseline_rear_height_m","baseline_diffuser_efficiency","baseline_mass_kg","baseline_tyre_compound","baseline_fuel_load_kg","baseline_air_temperature_c","baseline_track_temperature_c","baseline_wind_speed_mps","baseline_wind_direction_deg","candidate_front_wing_deg","candidate_rear_wing_deg","candidate_front_height_m","candidate_rear_height_m","candidate_diffuser_efficiency","candidate_mass_kg","candidate_tyre_compound","candidate_fuel_load_kg","candidate_air_temperature_c","candidate_track_temperature_c","candidate_wind_speed_mps","candidate_wind_direction_deg","role","run_id","sector","sector_time_s","candidate_minus_baseline_s"
"Silverstone Grand Prix","2026-09-18T05:50:20.557168+00:00","interactive-2.0","1e79189ac9a02b267cacd1f39c878051f9e7754dac33ad4ff382a6151776992d","true","Analytical model estimates; not CFD, wind-tunnel data or official F1 telemetry.","Unvalidated; no calibrated error interval available","[""dry conditions"",""analytical sector thirds"",""periodic flying lap"",""estimated tyre and aero model"",""flat terrain"",""no measured calibration""]","https://www.openstreetmap.org/relation/51160","ODbL-1.0","ef5bb9237a55a6d438148ad78b870915f4bdb9b7faa48c6c1a44b663cde932a7","16","20","0.04","0.06","1","820","medium","30","20","30","0","0","16","24","0.04","0.06","1","820","medium","30","20","30","0","0","baseline","1e79189ac9-baseline","1","41.32127880542198","0.11424685091355258"
"Silverstone Grand Prix","2026-09-18T05:50:20.557168+00:00","interactive-2.0","1e79189ac9a02b267cacd1f39c878051f9e7754dac33ad4ff382a6151776992d","true","Analytical model estimates; not CFD, wind-tunnel data or official F1 telemetry.","Unvalidated; no calibrated error interval available","[""dry conditions"",""analytical sector thirds"",""periodic flying lap"",""estimated tyre and aero model"",""flat terrain"",""no measured calibration""]","https://www.openstreetmap.org/relation/51160","ODbL-1.0","ef5bb9237a55a6d438148ad78b870915f4bdb9b7faa48c6c1a44b663cde932a7","16","20","0.04","0.06","1","820","medium","30","20","30","0","0","16","24","0.04","0.06","1","820","medium","30","20","30","0","0","candidate","1e79189ac9-candidate","1","41.435525656335535","0.11424685091355258"
"Silverstone Grand Prix","2026-09-18T05:50:20.557168+00:00","interactive-2.0","1e79189ac9a02b267cacd1f39c878051f9e7754dac33ad4ff382a6151776992d","true","Analytical model estimates; not CFD, wind-tunnel data or official F1 telemetry.","Unvalidated; no calibrated error interval available","[""dry conditions"",""analytical sector thirds"",""periodic flying lap"",""estimated tyre and aero model"",""flat terrain"",""no measured calibration""]","https://www.openstreetmap.org/relation/51160","ODbL-1.0","ef5bb9237a55a6d438148ad78b870915f4bdb9b7faa48c6c1a44b663cde932a7","16","20","0.04","0.06","1","820","medium","30","20","30","0","0","16","24","0.04","0.06","1","820","medium","30","20","30","0","0","baseline","1e79189ac9-baseline","2","39.15532880878137","-0.11839184717944562"
"Silverstone Grand Prix","2026-09-18T05:50:20.557168+00:00","interactive-2.0","1e79189ac9a02b267cacd1f39c878051f9e7754dac33ad4ff382a6151776992d","true","Analytical model estimates; not CFD, wind-tunnel data or official F1 telemetry.","Unvalidated; no calibrated error interval available","[""dry conditions"",""analytical sector thirds"",""periodic flying lap"",""estimated tyre and aero model"",""flat terrain"",""no measured calibration""]","https://www.openstreetmap.org/relation/51160","ODbL-1.0","ef5bb9237a55a6d438148ad78b870915f4bdb9b7faa48c6c1a44b663cde932a7","16","20","0.04","0.06","1","820","medium","30","20","30","0","0","16","24","0.04","0.06","1","820","medium","30","20","30","0","0","candidate","1e79189ac9-candidate","2","39.036936961601924","-0.11839184717944562"
"Silverstone Grand Prix","2026-09-18T05:50:20.557168+00:00","interactive-2.0","1e79189ac9a02b267cacd1f39c878051f9e7754dac33ad4ff382a6151776992d","true","Analytical model estimates; not CFD, wind-tunnel data or official F1 telemetry.","Unvalidated; no calibrated error interval available","[""dry conditions"",""analytical sector thirds"",""periodic flying lap"",""estimated tyre and aero model"",""flat terrain"",""no measured calibration""]","https://www.openstreetmap.org/relation/51160","ODbL-1.0","ef5bb9237a55a6d438148ad78b870915f4bdb9b7faa48c6c1a44b663cde932a7","16","20","0.04","0.06","1","820","medium","30","20","30","0","0","16","24","0.04","0.06","1","820","medium","30","20","30","0","0","baseline","1e79189ac9-baseline","3","41.57483680292148","-0.055275666137546864"
"Silverstone Grand Prix","2026-09-18T05:50:20.557168+00:00","interactive-2.0","1e79189ac9a02b267cacd1f39c878051f9e7754dac33ad4ff382a6151776992d","true","Analytical model estimates; not CFD, wind-tunnel data or official F1 telemetry.","Unvalidated; no calibrated error interval available","[""dry conditions"",""analytical sector thirds"",""periodic flying lap"",""estimated tyre and aero model"",""flat terrain"",""no measured calibration""]","https://www.openstreetmap.org/relation/51160","ODbL-1.0","ef5bb9237a55a6d438148ad78b870915f4bdb9b7faa48c6c1a44b663cde932a7","16","20","0.04","0.06","1","820","medium","30","20","30","0","0","16","24","0.04","0.06","1","820","medium","30","20","30","0","0","candidate","1e79189ac9-candidate","3","41.519561136783935","-0.055275666137546864"
