step_m,setup,lap_time_s,top_speed_mps
40,baseline,38.61247358816366,84.12320128037241
40,recommended,38.08200424044965,88.88494311967878
20,baseline,38.78496585627089,84.20202822078497
20,recommended,38.26604471947997,89.00109787316018
10,baseline,38.86932689810983,84.1748677048407
10,recommended,38.34840883774976,89.01559846488377
5,baseline,38.905287447121495,84.23128591846105
5,recommended,38.38555336936648,89.01630354054512
