drs_event_id,run_id,start_time_s,end_time_s,start_distance_m,end_distance_m,entry_speed_mps,exit_speed_mps,circuit_id,setup_id,weather_id,tyre_id,session_id,car_id,date_id,comparison_group
46,23,38.165111693,45.0073824704,2140,2610,51.7813072204,80.7843230579,1,8,2,2,1,1,20260917,setup_sweep
47,24,3.12651561091,11.7655720371,160,810,62.193295629,83.7642742024,1,8,3,2,3,1,20260917,setup_sweep
48,24,43.7453656102,51.0594908721,2140,2610,43.6851411818,78.1156309888,1,8,3,2,3,1,20260917,setup_sweep
49,25,2.65820934493,11.7546117339,160,860,66.7680920534,83.5346999332,1,9,1,2,1,1,20260917,setup_sweep
50,25,38.1091870925,45.050087467,2140,2610,52.0204667456,78.4754219416,1,9,1,2,1,1,20260917,setup_sweep
51,26,2.74391981839,11.732581687,160,860,66.0731457778,85.6801599076,1,9,2,2,1,1,20260917,setup_sweep
52,26,38.6756088165,45.5593469542,2140,2610,51.6966091673,79.933243808,1,9,2,2,1,1,20260917,setup_sweep
53,27,3.16781330644,11.7901989533,160,800,61.5848468201,82.3157399736,1,9,3,2,3,1,20260917,setup_sweep
54,27,44.1825289313,51.5154053245,2140,2610,43.9044292533,77.3284755245,1,9,3,2,3,1,20260917,setup_sweep
55,28,2.5788634675,11.4159343751,160,860,68.4678501931,85.9507879077,1,10,1,2,1,1,20260917,setup_sweep
56,28,37.3124358395,44.1713031277,2140,2610,52.3478182178,79.9724871767,1,10,1,2,1,1,20260917,setup_sweep
57,29,2.67777088348,11.4802129547,160,860,67.40301384,87.9254585354,1,10,2,2,1,1,20260917,setup_sweep
58,29,38.018921837,44.8298917064,2140,2610,51.9891463356,81.3118297864,1,10,2,2,1,1,20260917,setup_sweep
59,30,3.0687246231,12.2380719317,160,860,62.523352012,85.1110752716,1,10,3,2,3,1,20260917,setup_sweep
60,30,43.4982400258,50.7511292222,2140,2610,44.182279497,78.7180810429,1,10,3,2,3,1,20260917,setup_sweep
